id,url_token,name,use_default_avatar,avatar_url,avatar_url_template,is_org,type,url,user_type,headline,gender,is_advertiser,vip_info,badge,is_following,is_followed,follower_count,answer_count,articles_count,is_realname,self_recommend
89bc1c9a38cbaa71a23595fadaa83d15,da-pang-pang-cang-shu,大胖胖仓鼠,False,https://pic1.zhimg.com/v2-834bf34f7588dc0d5e456251f82caf85_l.jpg,https://pic4.zhimg.com/v2-834bf34f7588dc0d5e456251f82caf85.jpg,False,people,https://www.zhihu.com/api/v4/people/da-pang-pang-cang-shu,people,在读大学生,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,0,0,True,
4442e9d497d3f5935d25107c8cad9bfa,ajakbej,ajakbej,False,https://pic4.zhimg.com/v2-95daf904fb99c9f6bdfaa4a863320a78_l.jpg,https://pic2.zhimg.com/v2-95daf904fb99c9f6bdfaa4a863320a78.jpg,False,people,https://www.zhihu.com/api/v4/people/ajakbej,people,学生,1,False,"{'is_vip': True, 'rename_days': '60', 'vip_icon': {'url': 'https://pic3.zhimg.com/v2-4812630bc27d642f7cafcd6cdeca3d7a_r.png', 'night_mode_url': 'https://pic1.zhimg.com/v2-c9686ff064ea3579730756ac6c289978_r.png'}}",,False,False,1,1,1,True,
d99844ce0d456876168810dce38cff68,da-da-guai-jiang-jun-87-30,大大怪将军,False,https://pic2.zhimg.com/v2-675e1d68fd4906092a90532b6c61dfe4_l.jpg,https://pic3.zhimg.com/v2-675e1d68fd4906092a90532b6c61dfe4.jpg,False,people,https://www.zhihu.com/api/v4/people/da-da-guai-jiang-jun-87-30,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,26,0,True,
b23c1aa6c535557bf6b4716466d1df9e,wsphx.love,来自獐子岛的扇贝,False,https://pic3.zhimg.com/v2-657e6dbcbd3f4599357e45c5a11212de_l.jpg,https://pic1.zhimg.com/v2-657e6dbcbd3f4599357e45c5a11212de.jpg,False,people,https://www.zhihu.com/api/v4/people/wsphx.love,people,坚定的弗洛伊德主义战士，死不悔改的拉康派,1,False,"{'is_vip': True, 'rename_days': '60', 'vip_icon': {'url': 'https://pic4.zhimg.com/v2-4812630bc27d642f7cafcd6cdeca3d7a_r.png', 'night_mode_url': 'https://pic3.zhimg.com/v2-c9686ff064ea3579730756ac6c289978_r.png'}}",,False,False,134,44,20,True,
fa68304d2553e65a3cb0bbb1778645ea,mingchen-liu,asdf-quark,False,https://pic1.zhimg.com/v2-43ad6c63b2089a190d3fc0ec901bae09_l.jpg,https://pic2.zhimg.com/v2-43ad6c63b2089a190d3fc0ec901bae09.jpg,False,people,https://www.zhihu.com/api/v4/people/mingchen-liu,people,,1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,1,18,0,True,
25a1f496a58aa02f9d7040bf40f1adfb,wu-zi-shen-44,Kaddish,False,https://pic1.zhimg.com/v2-736ec081125ac2a2d3ac469f0a15c560_l.jpg,https://pic1.zhimg.com/v2-736ec081125ac2a2d3ac469f0a15c560.jpg,False,people,https://www.zhihu.com/api/v4/people/wu-zi-shen-44,people,Buddhist,1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,1,0,0,True,
6117d75f1f8e63f666f3e87818a7278b,asdf-96-54,asdf,False,https://pic3.zhimg.com/v2-13107e69617bdfd16c502d52acebf361_l.jpg,https://pic1.zhimg.com/v2-13107e69617bdfd16c502d52acebf361.jpg,False,people,https://www.zhihu.com/api/v4/people/asdf-96-54,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,0,0,False,
8cbb112051aa913318264f17dbd56a54,wu-yan-45-22-33,无言,False,https://pic2.zhimg.com/v2-563f546c16204a6b91d0dd768694b288_l.jpg,https://pic4.zhimg.com/v2-563f546c16204a6b91d0dd768694b288.jpg,False,people,https://www.zhihu.com/api/v4/people/wu-yan-45-22-33,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,1,0,True,
dabebbc3fd063939b352b5c5a3d17d55,jiu-shi-miao-miao-jiao-ya,asid,False,https://pic3.zhimg.com/v2-da390322146237cc7f36b667bc26106e_l.jpg,https://pic2.zhimg.com/v2-da390322146237cc7f36b667bc26106e.jpg,False,people,https://www.zhihu.com/api/v4/people/jiu-shi-miao-miao-jiao-ya,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,0,0,True,
f4cd5346a1e92d3a962555d43129b21c,zhou-jie-lun-97-16,晏紫苏,False,https://pic3.zhimg.com/v2-fa643d038fe69aec3f073d23de1e3fd3_l.jpg,https://pic3.zhimg.com/v2-fa643d038fe69aec3f073d23de1e3fd3.jpg,False,people,https://www.zhihu.com/api/v4/people/zhou-jie-lun-97-16,people,世界这么闷，我想逗逗它,0,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,117,21,0,True,
03118485c7c5a730b0604fe67fbaa800,qian-xun-73-95,且听风吟,False,https://pic3.zhimg.com/v2-20c4bf348add3263df82ced27de74e3e_l.jpg,https://pic1.zhimg.com/v2-20c4bf348add3263df82ced27de74e3e.jpg,False,people,https://www.zhihu.com/api/v4/people/qian-xun-73-95,people,苦逼学生党,1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,17,22,0,True,
f7fe43517694f954466ff36b0c5bc3ba,wu-yu-lun-bi-85-51,无与伦比,False,https://pic2.zhimg.com/v2-566efbb6e370cb5ecca419ada5b625ba_l.jpg,https://pic2.zhimg.com/v2-566efbb6e370cb5ecca419ada5b625ba.jpg,False,people,https://www.zhihu.com/api/v4/people/wu-yu-lun-bi-85-51,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,0,0,True,
afab3ddf312663153328098bcfe53bba,oreki-91,OREKI,False,https://pic3.zhimg.com/v2-e28e069343c7276c61c02af3e8db1cec_l.jpg,https://pic4.zhimg.com/v2-e28e069343c7276c61c02af3e8db1cec.jpg,False,people,https://www.zhihu.com/api/v4/people/oreki-91,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,0,0,True,
9fb394c481ef1b27a662a1e039cf3d81,jing-yi-qing-xin,想逆袭男神的肥宅,False,https://pic2.zhimg.com/v2-d8c35989de247f92876b675239981670_l.jpg,https://pic1.zhimg.com/v2-d8c35989de247f92876b675239981670.jpg,False,people,https://www.zhihu.com/api/v4/people/jing-yi-qing-xin,people,,1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,6,3,0,True,
dfb9dbcc9402df1c9e7b17eb0e85ebe2,yao-yao-jiu-37,妖妖玖,False,https://pic2.zhimg.com/v2-54bc902969acc8be41b2c123a7ed9a8e_l.jpg,https://pic2.zhimg.com/v2-54bc902969acc8be41b2c123a7ed9a8e.jpg,False,people,https://www.zhihu.com/api/v4/people/yao-yao-jiu-37,people,一不小心进入了化学深渊的学渣。,-1,False,"{'is_vip': True, 'rename_days': '60', 'vip_icon': {'url': 'https://pic2.zhimg.com/v2-4812630bc27d642f7cafcd6cdeca3d7a_r.png', 'night_mode_url': 'https://pic2.zhimg.com/v2-c9686ff064ea3579730756ac6c289978_r.png'}}",,False,False,4,44,0,True,
6b8c82802697e9d64259e445549344c2,jun-du-1,飘飖,False,https://pic3.zhimg.com/v2-95a751b2c7cd4f99a0984784833920ee_l.jpg,https://pic1.zhimg.com/v2-95a751b2c7cd4f99a0984784833920ee.jpg,False,people,https://www.zhihu.com/api/v4/people/jun-du-1,people,再次相遇的时候，请一定要回头。,0,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,1910,40,0,True,
c2ef5649984d522a80957d2201792120,liang-zhong-zheng-85,虎山行,True,https://pic4.zhimg.com/da8e974dc_l.jpg,https://pic3.zhimg.com/da8e974dc.jpg,False,people,https://www.zhihu.com/api/v4/people/liang-zhong-zheng-85,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,6,0,True,
ed5c57eee63a19691f31f7e97d42f9b5,shen-jing-wa-83-65-52,神经蛙,False,https://pic2.zhimg.com/v2-107a8e0c710ee5922e0c4b935b934500_l.jpg,https://pic1.zhimg.com/v2-107a8e0c710ee5922e0c4b935b934500.jpg,False,people,https://www.zhihu.com/api/v4/people/shen-jing-wa-83-65-52,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,0,0,False,
b89c969c9e02ababc6bd112ae1ec667c,feng-yan-li-hua-an-ru-xue,秋白,False,https://pic1.zhimg.com/v2-025d3c84490cf1d544b7b92de66acc5b_l.jpg,https://pic3.zhimg.com/v2-025d3c84490cf1d544b7b92de66acc5b.jpg,False,people,https://www.zhihu.com/api/v4/people/feng-yan-li-hua-an-ru-xue,people,这个人很懒可还是想留下些什么。,1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,2,11,0,True,
ac910ac9ff50d82137704a3c51d778e1,da-da-da-45-39-56,哒哒哒,True,https://pic2.zhimg.com/da8e974dc_l.jpg,https://pic3.zhimg.com/da8e974dc.jpg,False,people,https://www.zhihu.com/api/v4/people/da-da-da-45-39-56,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",,False,False,0,0,0,True,
